U+4E8C	二	*U+4E8C≠U+2011E≠U+2011F≠U+20120
U+2EAF1	𮫱	*U+2EAF1≡U+4C3B
U+2EBA6	𮮦	*U+2EBA6≡U+9F14
U+2EC7B	𮱻	*U+2EC7B(G)=U+5F84(TJKP)
U+2ED9D	𮶝	*U+2ED9D=U+8286(T)
U+30066	𰁦	*U+30066≡U+201B8
U+301D4	𰇔	*U+301D4(K) was ^⿱夫𫜸$ before Unicode 15.1
U+301D9	𰇙	*U+301D9(K) was ^⿱丹𫜸$ before Unicode 15.1
U+301E4	𰇤	*U+301E4(K) was ^⿱石𫜸$ before Unicode 15.1
U+301E8	𰇨	*U+301E8(K) was ^⿱只𫜸$ before Unicode 15.1
U+301FF	𰇿	*U+301FF(K) was ^⿱豆𫜸$ before Unicode 15.1
U+30200	𰈀	*U+30200(K) was ^⿱走𫜸$ before Unicode 15.1
U+30205	𰈅	*U+30205(K) was ^⿱囬𫜸$ before Unicode 15.1
U+3020C	𰈌	*U+3020C(K) was ^⿱沙𫜸$ before Unicode 15.1
U+30211	𰈑	*U+30211(K) was ^⿱其𫜸$ before Unicode 15.1
U+30215	𰈕	*U+30215(K) was ^⿱所𫜸$ before Unicode 15.1
U+30216	𰈖	*U+30216(K) was ^⿱非𫜸$ before Unicode 15.1
U+30217	𰈗	*U+30217(K) was ^⿱知𫜸$ before Unicode 15.1
U+30220	𰈠	*U+30220(K) was ^⿱恠𫜸$ before Unicode 15.1
U+30225	𰈥	*U+30225(Z)=U+2D295
U+30234	𰈴	*U+30234(K) was ^⿱麻𫜸$ before Unicode 15.1
U+30235	𰈵	*U+30235(K) was ^⿱冨𫜸$ before Unicode 15.1
U+30237	𰈷	*U+30237(K) was ^⿱都𫜸$ before Unicode 15.1
U+30321	𰌡	*U+30321≡U+5B5C
U+30543	𰕃	*U+30543≡U+6537
U+30546	𰕆	*U+30546≡U+653E
U+3054B	𰕋	*U+3054B≡U+655E
U+3054C	𰕌	*U+3054C≡U+22F5D
U+30550	𰕐	*U+30550≡U+2BFC2
U+30553	𰕓	*U+30553≡U+22FC9
U+30759	𰝙	*U+30759(U) was ^⿰氵⿱㓞青$ before Unicode 15.0
U+30C28	𰰨	*U+30C28=U+82B2(J)
U+30E05	𰸅	*U+30E05≡U+2B3C2
U+31020	𱀠	*UK-10184 ^⿰𠂤帚$ unified to U+31020
U+314B7	𱒷	*U+314B7(K) was ^⿱⿱亠土𫜸$ before Unicode 15.1
U+31542	𱕂	*U+31542(K) was ^⿱陶𫜸$ before Unicode 15.1
U+31569	𱕩	*U+31569(K) was ^⿱鋤𫜸$ before Unicode 15.1
U+318B9	𱢹	*U+318B9≠U+80FF
U+31C44	𱱄	*U+26B99 𦮙 has the same bottom component
U+31D5A	𱵚	*Original monumental inscription shows the Z-form
U+31F68	𱽨	*U+31F68≡U+26C25
U+32268	𲉨	*U+32268(B) was ^⿺尢隹$ before Unicode 16.0
